Date,Time,PAR (raw),Datetime (UTC),Datetime (AST),PAR (calc),,Serial #:,6521
7/24/23,13:16:08,11612,7/24/2023 13:16:08,7/24/2023 9:25:44,380.9428988,,Location:,NCRMP Suite - St Thomas / St John
7/24/23,13:16:09,11576,7/24/2023 13:16:09,7/24/2023 9:25:45,370.0490147,,Digital Im:,1.3589
7/24/23,13:16:10,11634,7/24/2023 13:16:10,7/24/2023 9:25:46,387.7575541,,Digital a1:,2857
7/24/23,13:16:11,11607,7/24/2023 13:16:11,7/24/2023 9:25:47,379.4108924,,Digital a0:,4619
7/24/23,13:16:12,11676,7/24/2023 13:16:12,7/24/2023 9:25:48,401.1077029,,Note:,instrument times logged in UTC
7/24/23,13:16:13,11586,7/24/2023 13:16:13,7/24/2023 9:25:49,373.0434571,,,
7/24/23,13:16:14,11614,7/24/2023 13:16:14,7/24/2023 9:25:50,381.5574321,,,
7/24/23,13:16:15,11595,7/24/2023 13:16:15,7/24/2023 9:25:51,375.7591673,,,
7/24/23,13:16:17,11715,7/24/2023 13:16:17,7/24/2023 9:25:53,413.9154952,,,
7/24/23,13:16:18,11629,7/24/2023 13:16:18,7/24/2023 9:25:54,386.1981417,,,
7/24/23,13:31:09,11027,7/24/2023 13:31:09,7/24/2023 9:40:45,237.738569,,,
7/24/23,13:31:10,11243,7/24/2023 13:31:10,7/24/2023 9:40:46,282.9459125,,,
7/24/23,13:31:11,11341,7/24/2023 13:31:11,7/24/2023 9:40:47,306.199967,,,
7/24/23,13:31:12,11342,7/24/2023 13:31:12,7/24/2023 9:40:48,306.4468468,,,
7/24/23,13:31:13,11339,7/24/2023 13:31:13,7/24/2023 9:40:49,305.7068038,,,
7/24/23,13:31:14,11163,7/24/2023 13:31:14,7/24/2023 9:40:50,265.2784824,,,
7/24/23,13:31:15,11013,7/24/2023 13:31:15,7/24/2023 9:40:51,235.0711864,,,
7/24/23,13:31:16,10817,7/24/2023 13:31:16,7/24/2023 9:40:52,200.7224591,,,
7/24/23,13:31:18,10769,7/24/2023 13:31:18,7/24/2023 9:40:54,193.1057159,,,
7/24/23,13:31:19,10700,7/24/2023 13:31:19,7/24/2023 9:40:55,182.6601969,,,
7/24/23,13:46:10,10330,7/24/2023 13:46:10,7/24/2023 9:55:46,135.5618373,,,
7/24/23,13:46:11,10319,7/24/2023 13:46:11,7/24/2023 9:55:47,134.3653394,,,
7/24/23,13:46:12,10319,7/24/2023 13:46:12,7/24/2023 9:55:48,134.3653394,,,
7/24/23,13:46:13,10315,7/24/2023 13:46:13,7/24/2023 9:55:49,133.9328726,,,
7/24/23,13:46:14,10315,7/24/2023 13:46:14,7/24/2023 9:55:50,133.9328726,,,
7/24/23,13:46:15,10314,7/24/2023 13:46:15,7/24/2023 9:55:51,133.8249735,,,
7/24/23,13:46:16,10317,7/24/2023 13:46:16,7/24/2023 9:55:52,134.1489317,,,
7/24/23,13:46:17,10308,7/24/2023 13:46:17,7/24/2023 9:55:53,133.1794022,,,
7/24/23,13:46:19,10311,7/24/2023 13:46:19,7/24/2023 9:55:55,133.5017976,,,
7/24/23,13:46:20,10317,7/24/2023 13:46:20,7/24/2023 9:55:56,134.1489317,,,
7/24/23,14:01:11,12063,7/24/2023 14:01:11,7/24/2023 10:10:47,547.9207847,,,
7/24/23,14:01:12,12057,7/24/2023 14:01:12,7/24/2023 10:10:48,545.2776162,,,
7/24/23,14:01:13,11965,7/24/2023 14:01:13,7/24/2023 10:10:49,506.3094812,,,
7/24/23,14:01:14,12035,7/24/2023 14:01:14,7/24/2023 10:10:50,535.6946205,,,
7/24/23,14:01:15,12099,7/24/2023 14:01:15,7/24/2023 10:10:51,564.0510411,,,
7/24/23,14:01:16,12100,7/24/2023 14:01:16,7/24/2023 10:10:52,564.5058185,,,
7/24/23,14:01:17,12047,7/24/2023 14:01:17,7/24/2023 10:10:53,540.9006398,,,
7/24/23,14:01:18,12065,7/24/2023 14:01:18,7/24/2023 10:10:54,548.804685,,,
7/24/23,14:01:20,12036,7/24/2023 14:01:20,7/24/2023 10:10:56,536.1265349,,,
7/24/23,14:01:21,12028,7/24/2023 14:01:21,7/24/2023 10:10:57,532.6809463,,,
7/24/23,14:16:12,11572,7/24/2023 14:16:12,7/24/2023 10:25:48,368.8579789,,,
7/24/23,14:16:13,11644,7/24/2023 14:16:13,7/24/2023 10:25:49,390.8952943,,,
7/24/23,14:16:14,11862,7/24/2023 14:16:14,7/24/2023 10:25:50,465.9767601,,,
7/24/23,14:16:15,11857,7/24/2023 14:16:15,7/24/2023 10:25:51,464.1027801,,,
7/24/23,14:16:16,11943,7/24/2023 14:16:16,7/24/2023 10:25:52,497.4113319,,,
7/24/23,14:16:17,11882,7/24/2023 14:16:17,7/24/2023 10:25:53,473.5486551,,,
7/24/23,14:16:18,11919,7/24/2023 14:16:18,7/24/2023 10:25:54,487.8825163,,,
7/24/23,14:16:19,11908,7/24/2023 14:16:19,7/24/2023 10:25:55,483.5763607,,,
7/24/23,14:16:21,11984,7/24/2023 14:16:21,7/24/2023 10:25:57,514.1222418,,,
7/24/23,14:16:22,12030,7/24/2023 14:16:22,7/24/2023 10:25:58,533.5402619,,,
7/24/23,14:31:13,12196,7/24/2023 14:31:13,7/24/2023 10:40:49,609.9161072,,,
7/24/23,14:31:14,12104,7/24/2023 14:31:14,7/24/2023 10:40:50,566.3285978,,,
7/24/23,14:31:15,12107,7/24/2023 14:31:15,7/24/2023 10:40:51,567.6995438,,,
7/24/23,14:31:16,12071,7/24/2023 14:31:16,7/24/2023 10:40:52,551.4649505,,,
7/24/23,14:31:17,11874,7/24/2023 14:31:17,7/24/2023 10:40:53,470.5052432,,,
7/24/23,14:31:18,11726,7/24/2023 14:31:18,7/24/2023 10:40:54,417.601334,,,
7/24/23,14:31:19,11727,7/24/2023 14:31:19,7/24/2023 10:40:55,417.9380334,,,
7/24/23,14:31:20,11599,7/24/2023 14:31:20,7/24/2023 10:40:56,376.972487,,,
7/24/23,14:31:22,11408,7/24/2023 14:31:22,7/24/2023 10:40:58,323.1888075,,,
7/24/23,14:31:23,11257,7/24/2023 14:31:23,7/24/2023 10:40:59,286.1565357,,,
7/24/23,14:46:14,10876,7/24/2023 14:46:14,7/24/2023 10:55:50,210.4975288,,,
7/24/23,14:46:15,10971,7/24/2023 14:46:15,7/24/2023 10:55:51,227.2472646,,,
7/24/23,14:46:16,11064,7/24/2023 14:46:16,7/24/2023 10:55:52,244.9346862,,,
7/24/23,14:46:17,11121,7/24/2023 14:46:17,7/24/2023 10:55:53,256.449165,,,
7/24/23,14:46:18,11093,7/24/2023 14:46:18,7/24/2023 10:55:54,250.7268239,,,
7/24/23,14:46:19,11035,7/24/2023 14:46:19,7/24/2023 10:55:55,239.276355,,,
7/24/23,14:46:20,10940,7/24/2023 14:46:20,7/24/2023 10:55:56,221.6399899,,,
7/24/23,14:46:21,10839,7/24/2023 14:46:21,7/24/2023 10:55:57,204.3131662,,,
7/24/23,14:46:23,10781,7/24/2023 14:46:23,7/24/2023 10:55:59,194.9823674,,,
7/24/23,14:46:24,10756,7/24/2023 14:46:24,7/24/2023 10:56:00,191.0930541,,,
7/24/23,15:01:15,10496,7/24/2023 15:01:15,7/24/2023 11:10:51,154.9674017,,,
7/24/23,15:01:16,10519,7/24/2023 15:01:16,7/24/2023 11:10:52,157.8667811,,,
7/24/23,15:01:17,10528,7/24/2023 15:01:17,7/24/2023 11:10:53,159.0160317,,,
7/24/23,15:01:18,10540,7/24/2023 15:01:18,7/24/2023 11:10:54,160.5613908,,,
7/24/23,15:01:19,10568,7/24/2023 15:01:19,7/24/2023 11:10:55,164.2258852,,,
7/24/23,15:01:20,10592,7/24/2023 15:01:20,7/24/2023 11:10:56,167.4333749,,,
7/24/23,15:01:21,10607,7/24/2023 15:01:21,7/24/2023 11:10:57,169.469791,,,
7/24/23,15:01:22,10668,7/24/2023 15:01:22,7/24/2023 11:10:58,178.0095742,,,
7/24/23,15:01:24,10727,7/24/2023 15:01:24,7/24/2023 11:11:00,186.6785393,,,
7/24/23,15:01:25,10814,7/24/2023 15:01:25,7/24/2023 11:11:01,200.2377315,,,
7/24/23,15:16:16,10089,7/24/2023 15:16:16,7/24/2023 11:25:52,111.6305921,,,
7/24/23,15:16:17,10099,7/24/2023 15:16:17,7/24/2023 11:25:53,112.5339086,,,
7/24/23,15:16:18,10089,7/24/2023 15:16:18,7/24/2023 11:25:54,111.6305921,,,
7/24/23,15:16:19,10093,7/24/2023 15:16:19,7/24/2023 11:25:55,111.9910453,,,
7/24/23,15:16:20,10087,7/24/2023 15:16:20,7/24/2023 11:25:56,111.4508008,,,
7/24/23,15:16:21,10088,7/24/2023 15:16:21,7/24/2023 11:25:57,111.5406603,,,
7/24/23,15:16:22,10088,7/24/2023 15:16:22,7/24/2023 11:25:58,111.5406603,,,
7/24/23,15:16:23,10090,7/24/2023 15:16:23,7/24/2023 11:25:59,111.7205965,,,
7/24/23,15:16:25,10080,7/24/2023 15:16:25,7/24/2023 11:26:01,110.8238085,,,
7/24/23,15:16:26,10078,7/24/2023 15:16:26,7/24/2023 11:26:02,110.6453166,,,
7/24/23,15:31:17,10268,7/24/2023 15:31:17,7/24/2023 11:40:53,128.9544582,,,
7/24/23,15:31:18,10256,7/24/2023 15:31:18,7/24/2023 11:40:54,127.7133071,,,
7/24/23,15:31:19,10258,7/24/2023 15:31:19,7/24/2023 11:40:55,127.919333,,,
7/24/23,15:31:20,10246,7/24/2023 15:31:20,7/24/2023 11:40:56,126.6881447,,,
7/24/23,15:31:21,10250,7/24/2023 15:31:21,7/24/2023 11:40:57,127.0972185,,,
7/24/23,15:31:22,10246,7/24/2023 15:31:22,7/24/2023 11:40:58,126.6881447,,,
7/24/23,15:31:23,10239,7/24/2023 15:31:23,7/24/2023 11:40:59,125.9754312,,,
7/24/23,15:31:24,10235,7/24/2023 15:31:24,7/24/2023 11:41:00,125.569968,,,
7/24/23,15:31:26,10233,7/24/2023 15:31:26,7/24/2023 11:41:02,125.367726,,,
7/24/23,15:31:27,10221,7/24/2023 15:31:27,7/24/2023 11:41:03,124.1610963,,,
7/24/23,15:46:18,10774,7/24/2023 15:46:18,7/24/2023 11:55:54,193.8854489,,,
7/24/23,15:46:19,10767,7/24/2023 15:46:19,7/24/2023 11:55:55,192.7947014,,,
7/24/23,15:46:20,10763,7/24/2023 15:46:20,7/24/2023 11:55:56,192.1741744,,,
7/24/23,15:46:21,10763,7/24/2023 15:46:21,7/24/2023 11:55:57,192.1741744,,,
7/24/23,15:46:22,10745,7/24/2023 15:46:22,7/24/2023 11:55:58,189.4064259,,,
7/24/23,15:46:23,10749,7/24/2023 15:46:23,7/24/2023 11:55:59,190.0180159,,,
7/24/23,15:46:24,10736,7/24/2023 15:46:24,7/24/2023 11:56:00,188.0375359,,,
7/24/23,15:46:25,10741,7/24/2023 15:46:25,7/24/2023 11:56:01,188.7968044,,,
7/24/23,15:46:27,10734,7/24/2023 15:46:27,7/24/2023 11:56:03,187.7346842,,,
7/24/23,15:46:28,10724,7/24/2023 15:46:28,7/24/2023 11:56:04,186.2277266,,,
7/24/23,16:01:19,10265,7/24/2023 16:01:19,7/24/2023 12:10:55,128.6430442,,,
7/24/23,16:01:20,10266,7/24/2023 16:01:20,7/24/2023 12:10:56,128.7467652,,,
7/24/23,16:01:21,10260,7/24/2023 16:01:21,7/24/2023 12:10:57,128.1256911,,,
7/24/23,16:01:22,10266,7/24/2023 16:01:22,7/24/2023 12:10:58,128.7467652,,,
7/24/23,16:01:23,10264,7/24/2023 16:01:23,7/24/2023 12:10:59,128.5394067,,,
7/24/23,16:01:24,10271,7/24/2023 16:01:24,7/24/2023 12:11:00,129.2666261,,,
7/24/23,16:01:25,10267,7/24/2023 16:01:25,7/24/2023 12:11:01,128.8505698,,,
7/24/23,16:01:26,10266,7/24/2023 16:01:26,7/24/2023 12:11:02,128.7467652,,,
7/24/23,16:01:28,10268,7/24/2023 16:01:28,7/24/2023 12:11:04,128.9544582,,,
7/24/23,16:01:29,10267,7/24/2023 16:01:29,7/24/2023 12:11:05,128.8505698,,,
7/24/23,16:16:20,12300,7/24/2023 16:16:20,7/24/2023 12:25:56,663.2418513,,,
7/24/23,16:16:21,12158,7/24/2023 16:16:21,7/24/2023 12:25:57,591.5200061,,,
7/24/23,16:16:22,12086,7/24/2023 16:16:22,7/24/2023 12:25:58,558.1721681,,,
7/24/23,16:16:23,11635,7/24/2023 16:16:23,7/24/2023 12:25:59,388.0701914,,,
7/24/23,16:16:24,11350,7/24/2023 16:16:24,7/24/2023 12:26:00,308.4290648,,,
7/24/23,16:16:25,11323,7/24/2023 16:16:25,7/24/2023 12:26:01,301.7899857,,,
7/24/23,16:16:26,11363,7/24/2023 16:16:26,7/24/2023 12:26:02,311.6775523,,,
7/24/23,16:16:27,11587,7/24/2023 16:16:27,7/24/2023 12:26:03,373.3442309,,,
7/24/23,16:16:29,11892,7/24/2023 16:16:29,7/24/2023 12:26:05,477.3806182,,,
7/24/23,16:16:30,11606,7/24/2023 16:16:30,7/24/2023 12:26:06,379.1052312,,,
