Date,Time,PAR (raw),Datetime (UTC),Datetime (AST),PAR (calc),,Serial #:,6521
7/24/23,16:31:21,12365,7/24/2023 16:31:21,7/24/2023 12:40:57,698.9129064,,,
7/24/23,16:31:22,12399,7/24/2023 16:31:22,7/24/2023 12:40:58,718.3294227,,,
7/24/23,16:31:23,12398,7/24/2023 16:31:23,7/24/2023 12:40:59,717.7507219,,,
7/24/23,16:31:24,12569,7/24/2023 16:31:24,7/24/2023 12:41:00,823.8091865,,,
7/24/23,16:31:25,12383,7/24/2023 16:31:25,7/24/2023 12:41:01,709.1259452,,,
7/24/23,16:31:26,12491,7/24/2023 16:31:26,7/24/2023 12:41:02,773.6156834,,,
7/24/23,16:31:27,12410,7/24/2023 16:31:27,7/24/2023 12:41:03,724.7260096,,,
7/24/23,16:31:28,12430,7/24/2023 16:31:28,7/24/2023 12:41:04,736.5024536,,,
7/24/23,16:31:30,12447,7/24/2023 16:31:30,7/24/2023 12:41:06,746.6627672,,,
7/24/23,16:31:31,12489,7/24/2023 16:31:31,7/24/2023 12:41:07,772.3697043,,,
7/24/23,16:46:22,11046,7/24/2023 16:46:22,7/24/2023 12:55:58,241.4070654,,,
7/24/23,16:46:23,11058,7/24/2023 16:46:23,7/24/2023 12:55:59,243.7531219,,,
7/24/23,16:46:24,11095,7/24/2023 16:46:24,7/24/2023 12:56:00,251.1312939,,,
7/24/23,16:46:25,11121,7/24/2023 16:46:25,7/24/2023 12:56:01,256.449165,,,
7/24/23,16:46:26,11172,7/24/2023 16:46:26,7/24/2023 12:56:02,267.2096769,,,
7/24/23,16:46:27,11198,7/24/2023 16:46:27,7/24/2023 12:56:03,272.8680183,,,
7/24/23,16:46:28,11340,7/24/2023 16:46:28,7/24/2023 12:56:04,305.953286,,,
7/24/23,16:46:29,11401,7/24/2023 16:46:29,7/24/2023 12:56:05,321.370634,,,
7/24/23,16:46:31,11554,7/24/2023 16:46:31,7/24/2023 12:56:07,363.5455786,,,
7/24/23,16:46:32,11752,7/24/2023 16:46:32,7/24/2023 12:56:08,426.4443182,,,
7/24/23,17:01:23,10268,7/24/2023 17:01:23,7/24/2023 13:10:59,128.9544582,,,
7/24/23,17:01:24,10261,7/24/2023 17:01:24,7/24/2023 13:11:00,128.228995,,,
7/24/23,17:01:25,10262,7/24/2023 17:01:25,7/24/2023 13:11:01,128.3323822,,,
7/24/23,17:01:26,10266,7/24/2023 17:01:26,7/24/2023 13:11:02,128.7467652,,,
7/24/23,17:01:27,10266,7/24/2023 17:01:27,7/24/2023 13:11:03,128.7467652,,,
7/24/23,17:01:28,10262,7/24/2023 17:01:28,7/24/2023 13:11:04,128.3323822,,,
7/24/23,17:01:29,10258,7/24/2023 17:01:29,7/24/2023 13:11:05,127.919333,,,
7/24/23,17:01:30,10264,7/24/2023 17:01:30,7/24/2023 13:11:06,128.5394067,,,
7/24/23,17:01:32,10262,7/24/2023 17:01:32,7/24/2023 13:11:08,128.3323822,,,
7/24/23,17:01:33,10260,7/24/2023 17:01:33,7/24/2023 13:11:09,128.1256911,,,
7/24/23,17:16:24,12036,7/24/2023 17:16:24,7/24/2023 13:26:00,536.1265349,,,
7/24/23,17:16:25,11946,7/24/2023 17:16:25,7/24/2023 13:26:01,498.6154457,,,
7/24/23,17:16:26,12183,7/24/2023 17:16:26,7/24/2023 13:26:02,603.5592014,,,
7/24/23,17:16:27,12027,7/24/2023 17:16:27,7/24/2023 13:26:03,532.2518077,,,
7/24/23,17:16:28,11409,7/24/2023 17:16:28,7/24/2023 13:26:04,323.4493849,,,
7/24/23,17:16:29,10905,7/24/2023 17:16:29,7/24/2023 13:26:05,215.4753075,,,
7/24/23,17:16:30,10772,7/24/2023 17:16:30,7/24/2023 13:26:06,193.5731786,,,
7/24/23,17:16:31,10728,7/24/2023 17:16:31,7/24/2023 13:26:07,186.8290526,,,
7/24/23,17:16:33,10725,7/24/2023 17:16:33,7/24/2023 13:26:09,186.3778764,,,
7/24/23,17:16:34,10753,7/24/2023 17:16:34,7/24/2023 13:26:10,190.6315807,,,
7/24/23,17:31:25,12234,7/24/2023 17:31:25,7/24/2023 13:41:01,628.8843218,,,
7/24/23,17:31:26,12334,7/24/2023 17:31:26,7/24/2023 13:41:02,681.6673891,,,
7/24/23,17:31:27,12280,7/24/2023 17:31:27,7/24/2023 13:41:03,652.6368215,,,
7/24/23,17:31:28,12331,7/24/2023 17:31:28,7/24/2023 13:41:04,680.0212206,,,
7/24/23,17:31:29,12296,7/24/2023 17:31:29,7/24/2023 13:41:05,661.107148,,,
7/24/23,17:31:30,12319,7/24/2023 17:31:30,7/24/2023 13:41:06,673.476204,,,
7/24/23,17:31:31,12478,7/24/2023 17:31:31,7/24/2023 13:41:07,765.5526039,,,
7/24/23,17:31:32,12304,7/24/2023 17:31:32,7/24/2023 13:41:08,665.3834475,,,
7/24/23,17:31:34,12322,7/24/2023 17:31:34,7/24/2023 13:41:10,675.1065287,,,
7/24/23,17:31:35,12371,7/24/2023 17:31:35,7/24/2023 13:41:11,702.3008037,,,
7/24/23,17:46:26,10368,7/24/2023 17:46:26,7/24/2023 13:56:02,139.7777712,,,
7/24/23,17:46:27,10375,7/24/2023 17:46:27,7/24/2023 13:56:03,140.5685722,,,
7/24/23,17:46:28,10362,7/24/2023 17:46:28,7/24/2023 13:56:04,139.1034836,,,
7/24/23,17:46:29,10360,7/24/2023 17:46:29,7/24/2023 13:56:05,138.8794446,,,
7/24/23,17:46:30,10356,7/24/2023 17:46:30,7/24/2023 13:56:06,138.4324487,,,
7/24/23,17:46:31,10355,7/24/2023 17:46:31,7/24/2023 13:56:07,138.3209247,,,
7/24/23,17:46:32,10352,7/24/2023 17:46:32,7/24/2023 13:56:08,137.9868915,,,
7/24/23,17:46:33,10353,7/24/2023 17:46:33,7/24/2023 13:56:09,138.0981462,,,
7/24/23,17:46:35,10348,7/24/2023 17:46:35,7/24/2023 13:56:11,137.5427683,,,
7/24/23,17:46:36,10342,7/24/2023 17:46:36,7/24/2023 13:56:12,136.8792624,,,
7/24/23,18:01:27,10896,7/24/2023 18:01:27,7/24/2023 14:11:03,213.9180109,,,
7/24/23,18:01:28,10857,7/24/2023 18:01:28,7/24/2023 14:11:04,207.2987432,,,
7/24/23,18:01:29,10831,7/24/2023 18:01:29,7/24/2023 14:11:05,203.0000823,,,
7/24/23,18:01:30,10809,7/24/2023 18:01:30,7/24/2023 14:11:06,199.4324521,,,
7/24/23,18:01:31,10781,7/24/2023 18:01:31,7/24/2023 14:11:07,194.9823674,,,
7/24/23,18:01:32,10756,7/24/2023 18:01:32,7/24/2023 14:11:08,191.0930541,,,
7/24/23,18:01:33,10753,7/24/2023 18:01:33,7/24/2023 14:11:09,190.6315807,,,
7/24/23,18:01:34,10741,7/24/2023 18:01:34,7/24/2023 14:11:10,188.7968044,,,
7/24/23,18:01:36,10729,7/24/2023 18:01:36,7/24/2023 14:11:12,186.9796872,,,
7/24/23,18:01:37,10716,7/24/2023 18:01:37,7/24/2023 14:11:13,185.0308745,,,
7/24/23,18:16:28,10830,7/24/2023 18:16:28,7/24/2023 14:26:04,202.8365413,,,
7/24/23,18:16:29,10835,7/24/2023 18:16:29,7/24/2023 14:26:05,203.655566,,,
7/24/23,18:16:30,10824,7/24/2023 18:16:30,7/24/2023 14:26:06,201.8580584,,,
7/24/23,18:16:31,10825,7/24/2023 18:16:31,7/24/2023 14:26:07,202.0208105,,,
7/24/23,18:16:32,10811,7/24/2023 18:16:32,7/24/2023 14:26:08,199.7541745,,,
7/24/23,18:16:33,10815,7/24/2023 18:16:33,7/24/2023 14:26:09,200.3991772,,,
7/24/23,18:16:34,10818,7/24/2023 18:16:34,7/24/2023 14:26:10,200.8842956,,,
7/24/23,18:16:35,10821,7/24/2023 18:16:35,7/24/2023 14:26:11,201.3705884,,,
7/24/23,18:16:37,10817,7/24/2023 18:16:37,7/24/2023 14:26:13,200.7224591,,,
7/24/23,18:16:38,10819,7/24/2023 18:16:38,7/24/2023 14:26:14,201.0462626,,,
7/24/23,18:31:29,10675,7/24/2023 18:31:29,7/24/2023 14:41:05,179.016674,,,
7/24/23,18:31:30,10678,7/24/2023 18:31:30,7/24/2023 14:41:06,179.4500305,,,
7/24/23,18:31:31,10726,7/24/2023 18:31:31,7/24/2023 14:41:07,186.5281473,,,
7/24/23,18:31:32,10790,7/24/2023 18:31:32,7/24/2023 14:41:08,196.4018148,,,
7/24/23,18:31:33,10858,7/24/2023 18:31:33,7/24/2023 14:41:09,207.465882,,,
7/24/23,18:31:34,10931,7/24/2023 18:31:34,7/24/2023 14:41:10,220.0381395,,,
7/24/23,18:31:35,11062,7/24/2023 18:31:35,7/24/2023 14:41:11,244.5401965,,,
7/24/23,18:31:36,11120,7/24/2023 18:31:36,7/24/2023 14:41:12,256.2425643,,,
7/24/23,18:31:38,11243,7/24/2023 18:31:38,7/24/2023 14:41:14,282.9459125,,,
7/24/23,18:31:39,11256,7/24/2023 18:31:39,7/24/2023 14:41:15,285.9260021,,,
7/24/23,18:46:30,12080,7/24/2023 18:46:30,7/24/2023 14:56:06,555.479547,,,
7/24/23,18:46:31,11956,7/24/2023 18:46:31,7/24/2023 14:56:07,502.6502496,,,
7/24/23,18:46:32,12039,7/24/2023 18:46:32,7/24/2023 14:56:08,537.4243689,,,
7/24/23,18:46:33,12013,7/24/2023 18:46:33,7/24/2023 14:56:09,526.2800413,,,
7/24/23,18:46:34,12052,7/24/2023 18:46:34,7/24/2023 14:56:10,543.0847185,,,
7/24/23,18:46:35,12043,7/24/2023 18:46:35,7/24/2023 14:56:11,539.1597027,,,
7/24/23,18:46:36,11965,7/24/2023 18:46:36,7/24/2023 14:56:12,506.3094812,,,
7/24/23,18:46:37,12029,7/24/2023 18:46:37,7/24/2023 14:56:13,533.110431,,,
7/24/23,18:46:39,11970,7/24/2023 18:46:39,7/24/2023 14:56:15,508.3538858,,,
7/24/23,18:46:40,11986,7/24/2023 18:46:40,7/24/2023 14:56:16,514.9516186,,,
7/24/23,19:01:31,11912,7/24/2023 19:01:31,7/24/2023 15:11:07,485.1378202,,,
7/24/23,19:01:32,11882,7/24/2023 19:01:32,7/24/2023 15:11:08,473.5486551,,,
7/24/23,19:01:33,11939,7/24/2023 19:01:33,7/24/2023 15:11:09,495.810369,,,
7/24/23,19:01:34,12003,7/24/2023 19:01:34,7/24/2023 15:11:10,522.0555596,,,
7/24/23,19:01:35,11986,7/24/2023 19:01:35,7/24/2023 15:11:11,514.9516186,,,
7/24/23,19:01:36,11886,7/24/2023 19:01:36,7/24/2023 15:11:12,475.0777353,,,
7/24/23,19:01:37,11708,7/24/2023 19:01:37,7/24/2023 15:11:13,411.5869178,,,
7/24/23,19:01:38,11597,7/24/2023 19:01:38,7/24/2023 15:11:14,376.3653382,,,
7/24/23,19:01:40,11608,7/24/2023 19:01:40,7/24/2023 15:11:16,379.7168,,,
7/24/23,19:01:41,11712,7/24/2023 19:01:41,7/24/2023 15:11:17,412.9159247,,,
7/24/23,19:16:32,11637,7/24/2023 19:16:32,7/24/2023 15:26:08,388.6962223,,,
7/24/23,19:16:33,11763,7/24/2023 19:16:33,7/24/2023 15:26:09,430.2417238,,,
7/24/23,19:16:34,11680,7/24/2023 19:16:34,7/24/2023 15:26:10,402.4028726,,,
7/24/23,19:16:35,11737,7/24/2023 19:16:35,7/24/2023 15:26:11,421.3199945,,,
7/24/23,19:16:36,11716,7/24/2023 19:16:36,7/24/2023 15:26:12,414.2492229,,,
7/24/23,19:16:37,11653,7/24/2023 19:16:37,7/24/2023 15:26:13,393.7409636,,,
7/24/23,19:16:38,11708,7/24/2023 19:16:38,7/24/2023 15:26:14,411.5869178,,,
7/24/23,19:16:39,11865,7/24/2023 19:16:39,7/24/2023 15:26:15,467.1047783,,,
7/24/23,19:16:41,11632,7/24/2023 19:16:41,7/24/2023 15:26:17,387.133035,,,
7/24/23,19:16:42,11728,7/24/2023 19:16:42,7/24/2023 15:26:18,418.2750043,,,
7/24/23,19:31:33,11590,7/24/2023 19:31:33,7/24/2023 15:41:09,374.2480079,,,
7/24/23,19:31:34,11534,7/24/2023 19:31:34,7/24/2023 15:41:10,357.7325985,,,
7/24/23,19:31:35,11645,7/24/2023 19:31:35,7/24/2023 15:41:11,391.2104614,,,
7/24/23,19:31:36,11549,7/24/2023 19:31:36,7/24/2023 15:41:12,362.0835376,,,
7/24/23,19:31:37,11539,7/24/2023 19:31:37,7/24/2023 15:41:13,359.1770711,,,
7/24/23,19:31:38,11571,7/24/2023 19:31:38,7/24/2023 15:41:14,368.5608193,,,
7/24/23,19:31:39,11517,7/24/2023 19:31:39,7/24/2023 15:41:15,352.8647043,,,
7/24/23,19:31:40,11658,7/24/2023 19:31:40,7/24/2023 15:41:16,395.3308328,,,
7/24/23,19:31:42,11513,7/24/2023 19:31:42,7/24/2023 15:41:18,351.7289776,,,
7/24/23,19:31:43,11593,7/24/2023 19:31:43,7/24/2023 15:41:19,375.1539727,,,
7/24/23,19:46:34,11306,7/24/2023 19:46:34,7/24/2023 15:56:10,297.6833381,,,
7/24/23,19:46:35,11363,7/24/2023 19:46:35,7/24/2023 15:56:11,311.6775523,,,
7/24/23,19:46:36,11368,7/24/2023 19:46:36,7/24/2023 15:56:12,312.9360613,,,
7/24/23,19:46:37,11460,7/24/2023 19:46:37,7/24/2023 15:56:13,337.0212012,,,
7/24/23,19:46:38,11364,7/24/2023 19:46:38,7/24/2023 15:56:14,311.9288485,,,
7/24/23,19:46:39,11306,7/24/2023 19:46:39,7/24/2023 15:56:15,297.6833381,,,
7/24/23,19:46:40,11324,7/24/2023 19:46:40,7/24/2023 15:56:16,302.0333099,,,
7/24/23,19:46:41,11346,7/24/2023 19:46:41,7/24/2023 15:56:17,307.4363582,,,
7/24/23,19:46:43,11412,7/24/2023 19:46:43,7/24/2023 15:56:19,324.2323784,,,
7/24/23,19:46:44,11311,7/24/2023 19:46:44,7/24/2023 15:56:20,298.8853404,,,
7/24/23,20:01:35,11294,7/24/2023 20:01:35,7/24/2023 16:11:11,294.8182181,,,
7/24/23,20:01:36,11352,7/24/2023 20:01:36,7/24/2023 16:11:12,308.9266195,,,
7/24/23,20:01:37,11333,7/24/2023 20:01:37,7/24/2023 16:11:13,304.232075,,,
7/24/23,20:01:38,11318,7/24/2023 20:01:38,7/24/2023 16:11:14,300.576302,,,
7/24/23,20:01:39,11354,7/24/2023 20:01:39,7/24/2023 16:11:15,309.4249768,,,
7/24/23,20:01:40,11425,7/24/2023 20:01:40,7/24/2023 16:11:16,327.6473122,,,
7/24/23,20:01:41,11346,7/24/2023 20:01:41,7/24/2023 16:11:17,307.4363582,,,
